,year,month,temp
348,1950,2月,4.8
349,1951,2月,3.3
350,1952,2月,4.0
351,1953,2月,5.3
352,1954,2月,5.6
353,1955,2月,3.4
354,1956,2月,3.6
355,1957,2月,5.3
356,1958,2月,7.5
357,1959,2月,5.4
358,1960,2月,3.3
359,1961,2月,4.8
360,1962,2月,2.3
361,1963,2月,3.2
362,1964,2月,3.8
363,1965,2月,5.7
364,1966,2月,4.1
365,1967,2月,2.3
366,1968,2月,5.0
367,1969,2月,5.1
368,1970,2月,5.1
369,1971,2月,5.8
370,1972,2月,6.9
371,1973,2月,4.2
372,1974,2月,3.7
373,1975,2月,6.7
374,1976,2月,2.9
375,1977,2月,3.5
376,1978,2月,7.5
377,1979,2月,3.5
378,1980,2月,3.9
379,1981,2月,4.3
380,1982,2月,4.5
381,1983,2月,2.3
382,1984,2月,5.5
383,1985,2月,2.6
384,1986,2月,5.3
385,1987,2月,3.9
386,1988,2月,6.6
387,1989,2月,7.9
388,1990,2月,4.3
389,1991,2月,5.1
390,1992,2月,6.1
391,1993,2月,4.6
392,1994,2月,4.9
393,1995,2月,3.7
394,1996,2月,4.6
395,1997,2月,7.0
396,1998,2月,4.7
397,1999,2月,3.6
398,2000,2月,5.3
399,2001,2月,6.1
400,2002,2月,5.5
401,2003,2月,6.4
402,2004,2月,4.9
403,2005,2月,5.5
404,2006,2月,7.3
405,2007,2月,3.6
406,2008,2月,6.7
407,2009,2月,6.8
408,2010,2月,6.3
409,2011,2月,4.1
410,2012,2月,4.5
411,2013,2月,5.1
412,2014,2月,5.6
413,2015,2月,6.4
414,2016,2月,5.1
415,2017,2月,4.4
416,2018,2月,6.9
417,1880,3月,4.7
418,1881,3月,5.5
419,1882,3月,5.6
420,1883,3月,5.6
421,1884,3月,3.8
422,1885,3月,7.0
423,1886,3月,5.3
424,1887,3月,7.5
425,1888,3月,6.6
426,1889,3月,8.6
427,1890,3月,7.8
428,1891,3月,4.7
429,1892,3月,5.0
430,1893,3月,7.5
431,1894,3月,6.8
432,1895,3月,4.6
433,1896,3月,6.2
434,1897,3月,5.4
435,1898,3月,7.1
436,1899,3月,5.2
437,1900,3月,5.2
438,1901,3月,7.8
439,1902,3月,8.5
440,1903,3月,6.3
441,1904,3月,6.4
442,1905,3月,6.6
443,1906,3月,5.4
444,1907,3月,6.2
445,1908,3月,5.6
446,1909,3月,4.7
447,1910,3月,7.7
448,1911,3月,7.0
449,1912,3月,4.6
450,1913,3月,9.0
451,1914,3月,5.6
452,1915,3月,4.9
453,1916,3月,6.1
454,1917,3月,6.5
455,1918,3月,7.5
456,1919,3月,7.2
457,1920,3月,5.3
458,1921,3月,5.8
459,1922,3月,8.1
460,1923,3月,4.0
461,1924,3月,5.3
462,1925,3月,5.4
463,1926,3月,6.1
464,1927,3月,6.4
465,1928,3月,5.9
466,1929,3月,8.3
467,1930,3月,6.8
468,1931,3月,5.8
469,1932,3月,5.2
470,1933,3月,5.5
471,1934,3月,6.8
472,1935,3月,4.5
473,1936,3月,7.3
474,1937,3月,9.0
475,1938,3月,6.8
476,1939,3月,6.3
477,1940,3月,7.7
478,1941,3月,9.9
479,1942,3月,6.1
480,1943,3月,5.7
481,1944,3月,6.6
482,1945,3月,6.1
483,1946,3月,5.4
484,1947,3月,6.4
485,1948,3月,5.5
486,1949,3月,6.8
487,1950,3月,7.4
488,1951,3月,6.8
489,1952,3月,8.6
490,1953,3月,7.6
491,1954,3月,9.0
492,1955,3月,8.3
493,1956,3月,5.2
494,1957,3月,7.5
495,1958,3月,9.0
496,1959,3月,8.9
497,1960,3月,8.0
498,1961,3月,7.3
499,1962,3月,7.0
500,1963,3月,6.6
501,1964,3月,5.5
502,1965,3月,8.5
503,1966,3月,7.7
504,1967,3月,8.0
505,1968,3月,6.9
506,1969,3月,5.0
